Run Type,NumCPU,NumNodes,ParticleCount,Total Elapsed Time 1(s),Total Elapsed Time 2(s),Total Elapsed Time 3(s),Total Elapsed Time Average(seconds),Speedup
OPENHYBRID(x1),1,1,64,7.88015,2.60389,2.62795,4.370663333,1
OPENHYBRID(x1),2,1,64,2.01808,2.04685,7.71104,3.925323333,1.113453074
OPENHYBRID(x1),3,1,64,1.83522,3.45197,5.79329,3.693493333,1.183341335
OPENHYBRID(x1),4,1,64,2.0873,1.88414,1.70764,1.893026667,2.308822907
OPENHYBRID(x1),5,1,64,1.82773,1.5684,2.76356,2.05323,2.12867693
OPENHYBRID(x1),6,1,64,2.46622,1.47609,1.45558,1.799296667,2.429095442
OPENHYBRID(x1),7,1,64,2.35043,8.85233,5.53857,5.580443333,0.783210772
OPENHYBRID(x1),8,1,64,1.8563,8.9872,2.21153,4.351676667,1.004363069
OPENHYBRID(x1),9,1,64,3.12409,4.62526,7.62452,5.124623333,0.852875041
OPENHYBRID(x1),10,1,64,2.59688,7.93691,2.88289,4.472226667,0.977290209
OPENHYBRID(x1),11,1,64,2.13781,2.32679,6.86938,3.777993333,1.156874284
OPENHYBRID(x1),12,1,64,1.77897,1.78155,2.58286,2.047793333,2.134328334
OPENHYBRID(x2),1,2,64,4.77731,2.20021,2.21281,3.063443333,1
OPENHYBRID(x2),2,2,64,4.68569,11.0573,11.8931,9.21203,0.332548128
OPENHYBRID(x2),3,2,64,3.87174,5.39641,4.74335,4.6705,0.655913357
OPENHYBRID(x2),4,2,64,9.87462,12.7913,12.3204,11.66210667,0.262683529
OPENHYBRID(x2),5,2,64,6.45912,2.6549,1.84773,3.653916667,0.83839989
OPENHYBRID(x2),6,2,64,6.12919,3.84662,1.62211,3.865973333,0.792411915
OPENHYBRID(x2),7,2,64,3.36915,8.51633,2.19655,4.69401,0.652628208
OPENHYBRID(x2),8,2,64,3.08315,8.90629,1.94258,4.644006667,0.65965524
OPENHYBRID(x2),9,2,64,3.70518,2.03865,1.55278,2.432203333,1.259534222
OPENHYBRID(x2),10,2,64,3.5368,2.24367,1.5443,2.44159,1.254691956
OPENHYBRID(x2),11,2,64,2.05901,3.17424,1.64813,2.293793333,1.335535895
OPENHYBRID(x2),12,2,64,2.13846,1.96241,1.88231,1.994393333,1.536027664
OPENHYBRID(x3),1,3,64,5.88294,2.71628,2.08084,3.56002,1
OPENHYBRID(x3),2,3,64,1.95881,1.76383,7.46714,3.729926667,0.954447719
OPENHYBRID(x3),3,3,64,9.84025,16.1623,10.8095,12.27068333,0.290124022
OPENHYBRID(x3),4,3,64,2.10809,1.85218,1.7281,1.896123333,1.877525548
OPENHYBRID(x3),5,3,64,11.2239,13.3408,12.3695,12.3114,0.289164514
OPENHYBRID(x3),6,3,64,20.9911,17.7882,13.2564,17.34523333,0.205244861
OPENHYBRID(x3),7,3,64,11.3111,3.27152,3.18751,5.923376667,0.601011923
OPENHYBRID(x3),8,3,64,1.85446,8.82024,2.15107,4.275256667,0.832703222
OPENHYBRID(x3),9,3,64,4.70116,1.99244,2.48008,3.057893333,1.164206731
OPENHYBRID(x3),10,3,64,4.56934,6.70665,4.93987,5.405286667,0.658618168
OPENHYBRID(x3),11,3,64,6.41531,6.52274,7.66186,6.866636667,0.51845178
OPENHYBRID(x3),12,3,64,1.78037,1.86173,3.81576,2.485953333,1.432054236
OPENHYBRID(x4),1,4,64,2.38516,7.88772,1.97389,4.082256667,1
OPENHYBRID(x4),2,4,64,1.76344,1.78261,8.91816,4.154736667,0.982554851
OPENHYBRID(x4),3,4,64,2.55104,1.51994,3.09578,2.38892,1.708829374
OPENHYBRID(x4),4,4,64,2.10897,1.73864,1.7311,1.85957,2.195269157
OPENHYBRID(x4),5,4,64,1.95445,1.55971,3.08442,2.199526667,1.855970527
OPENHYBRID(x4),6,4,64,3.72507,1.63109,5.3679,3.574686667,1.141990067
OPENHYBRID(x4),7,4,64,1.8279,1.62381,2.07203,1.841246667,2.217115577
OPENHYBRID(x4),8,4,64,3.57679,5.16915,2.16835,3.638096667,1.122085816
OPENHYBRID(x4),9,4,64,7.07413,1.67913,2.14548,3.632913333,1.123686775
OPENHYBRID(x4),10,4,64,4.02118,3.23354,6.90024,4.71832,0.865192837
OPENHYBRID(x4),11,4,64,4.76458,3.99543,5.98124,4.91375,0.830782329
OPENHYBRID(x4),12,4,64,3.25906,2.11031,3.97886,3.116076667,1.310062974
OPENHYBRID(x1),1,1,1024,302.195,297.4,277.176,292.257,1
OPENHYBRID(x1),2,1,1024,124.828,124.055,131.076,126.653,2.307541077
OPENHYBRID(x1),3,1,1024,81.4518,87.9972,106.654,92.03433333,3.175521454
OPENHYBRID(x1),4,1,1024,79.6682,78.2997,78.1886,78.71883333,3.712669353
OPENHYBRID(x1),5,1,1024,65.8333,74.2589,86.8197,75.6373,3.863926925
OPENHYBRID(x1),6,1,1024,82.4209,89.9083,56.6038,76.311,3.829814837
OPENHYBRID(x1),7,1,1024,104.006,103.285,107.146,104.8123333,2.788383683
OPENHYBRID(x1),8,1,1024,70.57,69.9947,66.5845,69.04973333,4.232557983
OPENHYBRID(x1),9,1,1024,79.9079,88.7687,80.4932,83.0566,3.518769129
OPENHYBRID(x1),10,1,1024,73.8759,81.4167,59.7535,71.68203333,4.077130439
OPENHYBRID(x1),11,1,1024,51.9941,55.8979,47.6433,51.8451,5.637119033
OPENHYBRID(x1),12,1,1024,44.2756,44.8582,50.2053,46.44636667,6.292354407
OPENHYBRID(x2),1,2,1024,163.435,159.35,153.953,158.9126667,1
OPENHYBRID(x2),2,2,1024,139.965,122.083,119.236,127.0946667,1.250348821
OPENHYBRID(x2),3,2,1024,60.9637,70.1423,77.2905,69.4655,2.287648785
OPENHYBRID(x2),4,2,1024,73.645,68.6947,73.8213,72.05366667,2.205476474
OPENHYBRID(x2),5,2,1024,58.3574,56.8685,65.7981,60.34133333,2.633562401
OPENHYBRID(x2),6,2,1024,37.0363,29.9489,47.2579,38.08103333,4.173013514
OPENHYBRID(x2),7,2,1024,58.1404,62.2463,64.0588,61.48183333,2.584709305
OPENHYBRID(x2),8,2,1024,54.41,58.1326,68.5313,60.35796667,2.632836649
OPENHYBRID(x2),9,2,1024,55.1,42.8575,49.6207,49.19273333,3.23040937
OPENHYBRID(x2),10,2,1024,50.619,44.5615,45.2426,46.8077,3.39501122
OPENHYBRID(x2),11,2,1024,39.9443,44.5067,57.3032,47.2514,3.363131393
OPENHYBRID(x2),12,2,1024,58.1685,58.9824,60.3363,59.1624,2.686041586
OPENHYBRID(x3),1,3,1024,112.627,114.597,114.199,113.8076667,1
OPENHYBRID(x3),2,3,1024,62.7572,56.8342,59.5621,59.71783333,1.905756796
OPENHYBRID(x3),3,3,1024,79.4091,78.7969,89.3622,82.52273333,1.379106849
OPENHYBRID(x3),4,3,1024,52.6573,33.298,33.7178,39.89103333,2.852963616
OPENHYBRID(x3),5,3,1024,71.6482,75.1557,70.6173,72.47373333,1.570329849
OPENHYBRID(x3),6,3,1024,69.0128,68.7316,76.5782,71.44086667,1.59303312
OPENHYBRID(x3),7,3,1024,60.1081,68.02,47.4019,58.51,1.945097705
OPENHYBRID(x3),8,3,1024,40.4814,34.6125,44.0679,39.7206,2.865205125
OPENHYBRID(x3),9,3,1024,45.4113,42.0559,44.7372,44.06813333,2.582538857
OPENHYBRID(x3),10,3,1024,39.4942,41.05,37.3,39.2814,2.897240595
OPENHYBRID(x3),11,3,1024,43.1873,35.6347,38.6417,39.15456667,2.906625622
OPENHYBRID(x3),12,3,1024,22.5186,23.0855,29.6748,25.09296667,4.535440875
OPENHYBRID(x4),1,4,1024,88.8732,88.8732,93.6251,90.45716667,1
OPENHYBRID(x4),2,4,1024,52.2273,54.8629,46.337,51.1424,1.768731359
OPENHYBRID(x4),3,4,1024,42.4402,39.7357,43.5173,41.89773333,2.158999055
OPENHYBRID(x4),4,4,1024,31.4879,25.3247,35.8443,30.88563333,2.928778105
OPENHYBRID(x4),5,4,1024,25.977,41.68,24.8427,30.83323333,2.933755461
OPENHYBRID(x4),6,4,1024,52.6409,34.1037,43.5571,43.4339,2.082639751
OPENHYBRID(x4),7,4,1024,42.6309,33.261,39.9519,38.6146,2.342563866
OPENHYBRID(x4),8,4,1024,38.6001,28.8258,29.2916,32.23916667,2.805815907
OPENHYBRID(x4),9,4,1024,32.0868,26.7129,36.6247,31.80813333,2.843837635
OPENHYBRID(x4),10,4,1024,22.4406,45.5296,22.4218,30.13066667,3.002162802
OPENHYBRID(x4),11,4,1024,26.1555,28.8152,23.461,26.1439,3.45997218
OPENHYBRID(x4),12,4,1024,27.4764,31.3357,30.0807,29.63093333,3.052795052
OPENHYBRID(x1),1,1,4096,3529.42,3528.35,3521.96,3526.576667,1
OPENHYBRID(x1),2,1,4096,1801.78,1784.38,1787.34,1791.166667,1.968871313
OPENHYBRID(x1),3,1,4096,1199.63,1196.87,1203.11,1199.87,2.939132295
OPENHYBRID(x1),4,1,4096,908.67,909.057,910.004,909.2436667,3.878582602
OPENHYBRID(x1),5,1,4096,736.393,735.23,732.503,734.7086667,4.799966064
OPENHYBRID(x1),6,1,4096,617.506,617.094,619.49,618.03,5.706157738
OPENHYBRID(x1),7,1,4096,892.351,853.208,893.719,879.7593333,4.008569768
OPENHYBRID(x1),8,1,4096,785.068,765.712,770.588,773.7893333,4.557541071
OPENHYBRID(x1),9,1,4096,706.152,726.258,718.297,716.9023333,4.91918704
OPENHYBRID(x1),10,1,4096,693.606,694.73,695.088,694.4746667,5.078049404
OPENHYBRID(x1),11,1,4096,665.166,667.516,668.118,666.9333333,5.287749901
OPENHYBRID(x1),12,1,4096,635.311,638.189,638.004,637.168,5.534767388
OPENHYBRID(x2),1,2,4096,1807.46,1806.63,1804.54,1806.21,1
OPENHYBRID(x2),2,2,4096,1768.51,1761.63,1762.82,1764.32,1.023742858
OPENHYBRID(x2),3,2,4096,633.831,619.824,619.987,624.5473333,2.892030602
OPENHYBRID(x2),4,2,4096,899.903,914.203,891.972,902.026,2.002392392
OPENHYBRID(x2),5,2,4096,382.298,386.108,384.687,384.3643333,4.699213334
OPENHYBRID(x2),6,2,4096,324.431,335.907,326.072,328.8033333,5.493283726
OPENHYBRID(x2),7,2,4096,473.018,465.28,500.874,479.724,3.765102434
OPENHYBRID(x2),8,2,4096,483.053,485.97,480.351,483.1246667,3.738600251
OPENHYBRID(x2),9,2,4096,409.131,408.694,407.226,408.3503333,4.42318728
OPENHYBRID(x2),10,2,4096,382.898,385.83,383.78,384.1693333,4.701598601
OPENHYBRID(x2),11,2,4096,365.78,366.037,368.44,366.7523333,4.924876643
OPENHYBRID(x2),12,2,4096,409.681,415.041,408.374,411.032,4.394329395
OPENHYBRID(x3),1,3,4096,1241.8,1202.92,1203.63,1216.116667,1
OPENHYBRID(x3),2,3,4096,622.914,619.9,620.297,621.037,1.958203242
OPENHYBRID(x3),3,3,4096,796.225,779.545,811.184,795.6513333,1.528454256
OPENHYBRID(x3),4,3,4096,321.576,329.454,325.303,325.4443333,3.736788577
OPENHYBRID(x3),5,3,4096,475.07,473.919,442.925,463.9713333,2.621103029
OPENHYBRID(x3),6,3,4096,386.037,399.064,391.637,392.246,3.100392782
OPENHYBRID(x3),7,3,4096,362.312,360.494,361.508,361.438,3.364661898
OPENHYBRID(x3),8,3,4096,312.736,316.859,309.749,313.1146667,3.883933895
OPENHYBRID(x3),9,3,4096,315.036,326.029,321.25,320.7716667,3.79122221
OPENHYBRID(x3),10,3,4096,302.193,297.301,305.515,301.6696667,4.031285877
OPENHYBRID(x3),11,3,4096,294.888,299.027,296.466,296.7936667,4.097515559
OPENHYBRID(x3),12,3,4096,242.348,234.712,233.657,236.9056667,5.13333718
OPENHYBRID(x4),1,4,4096,986.082,922.575,915.772,941.4763333,1
OPENHYBRID(x4),2,4,4096,479.904,474.253,478.933,477.6966667,1.970866449
OPENHYBRID(x4),3,4,4096,342.7,327.604,328.862,333.0553333,2.82678654
OPENHYBRID(x4),4,4,4096,251.071,256.439,251.076,252.862,3.72328121
OPENHYBRID(x4),5,4,4096,207.135,209.705,208.948,208.596,4.51339591
OPENHYBRID(x4),6,4,4096,289.407,252.665,284.614,275.562,3.41656808
OPENHYBRID(x4),7,4,4096,270.093,272.242,264.496,268.9436667,3.500645116
OPENHYBRID(x4),8,4,4096,250.09,245.332,245.626,247.016,3.811398182
OPENHYBRID(x4),9,4,4096,238.724,228.477,224.603,230.6013333,4.08270117
OPENHYBRID(x4),10,4,4096,207.041,214.785,208.909,210.245,4.477996306
