Run Type,NumCPU,NumNodes,ParticleCount,Total Elapsed Time 1(s),Total Elapsed Time 2(s),Total Elapsed Time 3(s),Total Elapsed Time Average(seconds),Speedup
OPENMP,1,1,64,2.61729,2.58532,2.41818,2.540263333,1
OPENMP,2,1,64,2.03201,1.82075,1.82458,1.892446667,1.342317
OPENMP,3,1,64,3.27818,1.50759,8.68847,4.491413333,0.565582178
OPENMP,4,1,64,1.55225,4.60011,1.79134,2.6479,0.959350177
OPENMP,5,1,64,4.73878,3.25173,7.92761,5.30604,0.478749375
OPENMP,6,1,64,1.98034,1.36643,4.14899,2.498586667,1.016680096
OPENMP,7,1,64,3.5981,2.13223,1.6008,2.44371,1.039510962
OPENMP,8,1,64,3.59786,1.75238,1.30024,2.216826667,1.145900747
OPENMP,9,1,64,1.72066,3.41725,2.09993,2.412613333,1.052909432
OPENMP,10,1,64,2.79996,9.21921,3.75458,5.257916667,0.483131151
OPENMP,11,1,64,3.281,2.08277,6.82491,4.062893333,0.625235054
OPENMP,12,1,64,4.08135,6.14494,4.72041,4.982233333,0.509864385
OPENMP,1,1,1024,303.73,289.319,293.184,295.411,1
OPENMP,2,1,1024,128.168,123.441,124.044,125.2176667,2.359179881
OPENMP,3,1,1024,80.7108,84.6074,79.7015,81.67323333,3.616986716
OPENMP,4,1,1024,75.0506,76.0571,76.565,75.8909,3.892574736
OPENMP,5,1,1024,51.707,77.6979,56.2557,61.88686667,4.773403727
OPENMP,6,1,1024,46.3052,52.0551,44.97,47.77676667,6.183151783
OPENMP,7,1,1024,54.8515,52.256,54.9259,54.01113333,5.469446423
OPENMP,8,1,1024,41.1463,52.4991,40.601,44.7488,6.601540153
OPENMP,9,1,1024,49.5729,47.5386,58.4344,51.84863333,5.697565799
OPENMP,10,1,1024,56.9938,58.2433,62.4399,59.22566667,4.987888134
OPENMP,11,1,1024,38.5289,32.2838,49.8704,40.2277,7.343472284
OPENMP,12,1,1024,29.3758,27.7753,27.9844,28.3785,10.40967634
OPENMP,1,1,4096,3530,3529.57,3522.29,3527.286667,1
OPENMP,2,1,4096,1788.75,1778.27,1781.82,1782.946667,1.978346707
OPENMP,3,1,4096,1303.19,1199.74,1203.81,1235.58,2.854761866
OPENMP,4,1,4096,901.865,904.103,901.766,902.578,3.908013121
OPENMP,5,1,4096,741.957,737.462,739.742,739.7203333,4.768405718
OPENMP,6,1,4096,620.478,619.429,620.083,619.9966667,5.68920263
OPENMP,7,1,4096,544.895,531.2,533.013,536.3693333,6.576227327
OPENMP,8,1,4096,465.712,467.24,468.033,466.995,7.553157244
OPENMP,9,1,4096,423.795,417.018,419.218,420.0103333,8.398094969
OPENMP,10,1,4096,383.241,381.247,378.264,380.9173333,9.25997942
OPENMP,11,1,4096,348.188,349.556,347.895,348.5463333,10.11999361
OPENMP,12,1,4096,317.727,320.386,325.587,321.2333333,10.98045035
OPENMP,1,1,16384,55928.7,55977.2,55990.8,55965.56667,1
OPENMP,2,1,16384,28028.9,28015,28012.7,28018.86667,1.997424354
OPENMP,3,1,16384,18639.6,18658.9,18791.9,18696.8,2.993323278
OPENMP,4,1,16384,14019.5,14053.3,14051.2,14041.33333,3.985772957
OPENMP,5,1,16384,11248,11250.6,11269.2,11255.93333,4.972094719
OPENMP,6,1,16384,9384.1,9369.29,9390.79,9381.393333,5.965592176
OPENMP,7,1,16384,8058.99,8071.04,8074.42,8068.15,6.936604633
OPENMP,8,1,16384,7087.71,7089.05,7083.18,7086.646667,7.897327086
OPENMP,9,1,16384,6289.38,6288.23,6282.66,6286.756667,8.902136608
OPENMP,10,1,16384,5664.98,5664.03,5661.71,5663.573333,9.881670701
OPENMP,11,1,16384,5154.11,5144.38,5146.63,5148.373333,10.87053387
OPENMP,12,1,16384,4745.88,4745.03,4745.72,4745.543333,11.79328957
